bloco;y;x;id;vulgar;cient;familia;nome;classif;c7;c10;c13;c16;coordx;coordy;fuste7;fuste10;fuste13;st7;st10;st13;fito7;fito10;fito13;copa7;copa10;copa13;obs
E3;41,8;4;E3/18A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;34;35,5;36,2;37,6;676954;7184241,8;2;4;;2;2;2;3;5;3;2;3;3;
D10;4,4;48;D10/54A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;69,80000001;84,80000001;94,1;103,5;676948;7184554,4;3;3;;3;2;3;3;3;25;3;3;3;
B4;16,5;5;B4/109A;Guavirova-de-porco;Campomanesia guaviroba (DC.) Kiaersk.;Myrtaceae;Camgua;St;;;32,5;34,39999999;676805;7184266,5;;;;;;2;;;3;;;3;
H3;13,6;45;H3/143A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;66,7;71,39999999;75,69999999;78,69999999;677145;7184213,6;2;2;2;3;3;2;3;3;3;3;3;3;
D6;28,9;41,5;D6/153A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;36,50000001;37,7;38,70000001;38,70000001;676941,5;7184378,9;1;2;;3;2;2;3;3;35;2;2;3;
D6;10,3;48,5;D6/147A;Farinha-seca;Machaerium stipitatum Vogel;Fabaceae;Macsti;Si;113,5;115,2;114,4;118;676948,5;7184360,3;1;41;;2;2;2;1;15;15;2;2;1;
A4;13,9;10,8;A4/158A;Ni;Ni;Ni;Ni;Ni;;;;34,20000001;676760,8;7184263,9;;;;;;;;;;;;;
I7;4,2;21,5;I7/81A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;35,70000001;39,49999999;45,7;51,00000001;677171,5;7184404,2;3;3;2;3;3;3;3;3;3;3;3;3;
I6;39,3;25,5;I6/79A;Mamica-de-cadela;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;Rutaceae;Zankle;Si;72,50000001;72,79999999;73,30000001;74,00000001;677175,5;7184389,3;43;43;42;2;2;1;2;2;3;1;1;3;
C6;11,8;2,5;C6/27A;Mamica-de-cadela;Zanthoxylum rhoifolium Lam.;Rutaceae;Zanrho;Si;66,00000001;72,00000001;77,00000001;80,70000002;676852,5;7184361,8;3;2;;3;2;2;3;3;3;2;2;3;
F2;11,6;27,5;F2/85A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;61,99999999;66,10000001;70,2;72,50000001;677027,5;7184161,6;2;2;1;2;3;3;3;3;3;3;3;3;
G5;22,7;36;G5/116B;Guaraperê;Lamanonia ternata Vell.;Cunoniaceae;Lamter;P;39,8;42;42,20000001;43,5;677086;7184322,7;1;1;1;3;2;1;3;3;3;2;2;3;
E9;37,3;16;E9/56A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;36,50000001;37,20000001;36,3;38,19999999;676966;7184537,3;1;2;;2;2;1;3;3;3;3;3;3;
I6;19,1;28;I6/60A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;39,49999999;45,00000001;51,79999999;57,40000001;677178;7184369,1;2;2;2;2;2;2;3;3;3;2;2;3;
C6;22,6;10,5;C6/37A;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;63;74,10000001;83,50000001;91,40000001;676860,5;7184372,6;2;1;;3;2;2;3;3;3;3;3;3;
F6;45;25;F6/130A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;37;45,00000001;49,3;50,80000001;677025;7184395;42;42;2;3;3;2;3;3;3;3;3;2;
A5;15,2;20;A5/141A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;67,50000001;72,09999999;75,50000001;76,7;676770;7184315,2;1;1;;3;2;1;3;3;35;2;2;3;
D5;17,9;6,5;D5/18A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;64,89999999;73,69999999;78,50000001;82,70000001;676906,5;7184317,9;2;1;;3;2;2;3;3;3;2;3;3;
E8;33;49;E8/108A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,5;33,69999999;33,79999999;35,00000001;676999;7184483;2;3;;2;2;2;1;2;3;1;2;3;
E8;26;20,5;E8/60A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;39,40000001;40,00000001;;;676970,5;7184476;1;;;1;;;1;4;4;1;;;
C5;13,3;43;C5/84A;Ni;Ni;Ni;Ni;Ni;;40,00000001;;;676893;7184313,3;;41;;;1;;;5;4;;3;;
F2;31,2;9,8;F2/26A;Bugreiro;Lithraea brasiliensis Marchand;Anacardiaceae;Litbra;P;49,40000001;52;56,5;56,5;677009,8;7184181,2;4;4;4;3;2;2;3;3;3;3;1;4;
E3;7,1;29;E3/103A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;45,00000001;45,00000001;45,5;45,5;676979;7184207,1;1;1;;3;1;1;3;5;3;3;3;3;
I5;11;31,5;I5/106A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;45,7;46,69999998;48,5;48,99999999;677181,5;7184311;1;1;42;2;2;1;2;5;3;2;2;3;
G2;42,1;27;G2/90A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;191,2;195;204;214,5;677077;7184192,1;3;3;3;3;3;3;3;3;3;3;3;3;
G7;40,3;30;G7/136A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;44,69999999;44,69999999;44,69999999;44,69999999;677080;7184440,3;1;1;1;2;2;1;3;3;3;2;2;3;
F4;8,8;41;F4/91A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;75,50000001;77,80000002;79,99999999;79,99999999;677041;7184258,8;2;2;2;2;3;2;3;3;3;3;3;2;
H5;0,4;16;H5/74A;Canela-amarela;Nectandra lanceolata Nees;Lauraceae;Neclan;Si;53,29999999;61,99999999;71;77,09999999;677116;7184300,4;1;1;1;3;3;3;3;3;3;3;3;3;
G3;46,6;19,4;G3/28A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,20000002;32,80000001;32,80000001;33,09999999;677069,4;7184246,6;1;1;2;2;2;2;3;3;3;2;2;3;
I4;31,8;40,5;I4/196A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;64,4;71,20000001;76;78,69999999;677190,5;7184281,8;3;3;3;3;3;2;3;3;3;3;3;3;
E7;17,3;26;E7/97A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;34;34,1;;;676976;7184417,3;2;4;;2;2;;3;3;4;2;2;;
E9;6;4,5;E9/4A;Vacum 2;Allophylus semidentatus (Miq.) Radlk.;Sapindaceae;Allsem;St;31,49999998;32,80000001;34,49999999;36,69999999;676954,5;7184506;1;2;;1;1;1;3;3;3;2;2;3;
I4;23;42;I4/188B;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;33,69999999;35,19999999;38,09999999;42;677192;7184273;2;2;42;2;2;2;3;3;3;2;2;3;
A6;47,3;33;A6/43A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;72,79999999;77,70000001;78,9;80,3;676783;7184397,3;2;1;;3;2;2;3;5;3;3;2;2;
H5;46,5;8;H5/34A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;45,5;48,70000001;50,30000002;51,79999999;677108;7184346,5;2;2;2;3;3;2;3;3;35;3;3;3;
G6;43,5;34,3;G6/116A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;47,59999999;50;53,19999998;54,50000001;677084,3;7184393,5;2;2;2;2;2;2;3;2;35;3;3;3;
C4;15,7;17;C4/148A;Citronella paniculata;Citronella paniculata (Mart.) R.A.Howard;Cardiopteridaceae;Citpan;St;;;40,80000001;44,40000001;676867;7184265,7;;;;;;2;;;25;;;2;
B3;49;38,3;B3/194A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;39,40000001;46,09999999;51,09999999;58,10000001;676838,3;7184249;3;4;;2;2;2;3;5;3;3;2;3;
H7;44,6;47;H7/167B;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;40,6;41,09999999;41,09999999;;677147;7184444,6;1;1;1;2;2;2;3;3;1;2;2;2;
G7;29,6;8,5;G7/207A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;;32,39999999;35,60000001;37,99999998;677058,5;7184429,6;;3;3;;2;2;;35;3;;3;3;
G2;35,5;34;G2/172A;Celtis iguanaea;Celtis iguanaea (Jacq.) Sarg.;Cannabaceae;Celigu;Liana;;;42,6;43,00000001;677084;7184185,5;;;1;;;1;;;3;;;2;
J4;2,5;19;J4/79A;Duranta vestita;Duranta vestita Cham.;Verbenaceae;Durves;P;42,30000001;42,49999999;42,30000001;45,7;677219;7184252,5;2;2;1;2;2;1;2;2;15;2;2;1;
G7;30;0,5;G7/27A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;40,6;41,69999999;42,30000001;43,29999999;677050,5;7184430;43;43;42;3;3;2;2;2;15;2;1;3;
D7;5,9;29,9;D7/60A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;40,00000001;40,19999999;40,99999999;40,99999999;676929,9;7184405,9;1;2;;1;2;1;3;3;3;2;2;3;
G5;39,3;44;G5/165A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;38,19999999;39,40000001;40,5;40,6;677094;7184339,3;2;2;2;2;2;2;3;3;3;2;2;2;
E2;26,5;46,5;E2/15A;Pimenteira;Cinnamodendron dinisii Schwacke;Canellaceae;Cindin;P;76,39999999;76,39999999;76,7;77,60000001;676996,5;7184176,5;43;4;;3;2;2;2;5;25;2;2;2;
E7;16,1;14,8;E7/63A;Guavirova-de-porco;Campomanesia guaviroba (DC.) Kiaersk.;Myrtaceae;Camgua;St;48,80000001;49,3;49,3;51,79999999;676964,8;7184416,1;2;1;;3;2;2;3;5;3;2;3;3;
D8;25,3;8;D8/20A;Vassourão preto;Piptocarpha axillaris (Less.) Baker;Asteraceae;Pipaxi;P;64,99999999;64,99999999;;;676908;7184475,3;1;;;3;;;3;4;4;3;;;
E2;44,3;27;E2/56A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;51,4;52;54,79999999;55,8;676977;7184194,3;1;1;;2;2;2;3;5;3;3;3;3;
F7;42,3;8,3;F7/48A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;42,30000001;44,50000002;46,50000001;48,19999999;677008,3;7184442,3;2;2;2;2;2;2;3;3;3;3;3;2;
E4;17,3;26;E4/77A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;72,79999999;73,49999999;73,9;;676976;7184267,3;2;2;;2;2;1;2;5;35;2;2;2;
F7;36,5;13;F7/267A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;31,59999999;33,09999999;34,20000001;677013;7184436,5;;3;2;;2;2;;3;3;;3;3;
F6;39;49,8;F6/219A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;76,49999999;77,99999999;80,79999999;80,79999999;677049,8;7184389;3;3;42;3;3;2;3;3;5;3;3;3;
B5;34,3;27,5;B5/63A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;48,5;49,3;49,50000001;50,39999999;676827,5;7184334,3;1;1;;1;1;1;3;3;3;3;2;3;
D6;21,5;6,5;D6/20A;Canela-amarela;Nectandra lanceolata Nees;Lauraceae;Neclan;Si;137,5;139,7;139,9;140,6;676906,5;7184371,5;3;41;;3;2;2;3;2;3;2;2;3;
H6;49,3;22;H6/122A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;34,20000001;34,90000001;35,00000001;35,5;677122;7184399,3;1;1;1;1;1;1;3;3;3;2;2;2;
H2;44,9;28;H2/105A;Cedro;Cedrela fissilis Vell.;Meliaceae;Cedfis;P;136,7;144,4;151;157,8;677128;7184194,9;3;3;3;3;3;3;3;3;3;3;3;3;
H6;27,6;35,5;H6/141C;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;168,5;168,5;169,1;;677135,5;7184377,6;2;;;2;;;3;4;4;2;;;
I4;4;29;I4/81A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;55,59999999;57,40000001;;;677179;7184254;2;2;;3;3;;3;3;4;3;3;;
B4;5;45,4;B4/5A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;56,60000001;56,60000001;59,3;59,4;676845,4;7184255;1;;;3;;2;1;;25;2;;2;
C6;30,4;13,5;C6/41A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;48,5;52,2;53,80000001;56,29999999;676863,5;7184380,4;3;3;;2;1;2;3;3;3;2;4;3;
I6;41,5;17;I6/32A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;131,8;132,4;136;137,2;677167;7184391,5;3;3;3;3;3;3;3;3;3;2;2;3;
H2;43,3;24,5;H2/103A;Capororoca;Myrsine gardneriana A.DC.;Primulaceae;Myrgar;P;43,5;43,99999999;46,3;;677124,5;7184193,3;43;43;42;1;1;2;3;2;35;3;2;2;
E4;45,4;46;E4/178A;Farinha-seca;Machaerium stipitatum Vogel;Fabaceae;Macsti;Si;57,50000001;62,09999999;68,1;74,6;676996;7184295,4;1;2;;2;2;2;1;5;35;1;3;3;
F3;37,3;0,5;F3/24A;Eugenia multiovulata;Eugenia chlorophylla O.Berg;Myrtaceae;Eugchl;C;85,5;87,70000001;87,90000001;88,4;677000,5;7184237,3;43;43;4;2;2;2;3;25;3;1;3;4;
E6;34,5;43;E6/230A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;;33,2;36,3;39,40000001;676993;7184384,5;;2;;;2;1;;3;3;;3;3;
G2;15,5;44,8;G2/132A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;31,59999999;32,10000001;34,30000001;36,9;677094,8;7184165,5;2;2;1;2;2;1;3;3;3;3;3;2;
C3;48,2;14,5;C3/7A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;46,50000001;47,90000001;52,1;55,30000001;676864,5;7184248,2;1;1;;3;3;3;3;3;35;3;3;3;
E9;22,4;28;E9/79A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;141;148,5;156,8;161;676978;7184522,4;3;3;;3;3;3;3;3;3;3;3;3;
B5;17,8;2,5;B5/20A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;205,5;209,5;217,1;224;676802,5;7184317,8;3;3;;3;3;3;3;3;3;3;3;3;
E4;29,4;35;E4/119A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;50,30000002;50,80000001;51,70000001;51,70000001;676985;7184279,4;2;2;;2;2;2;2;5;3;2;2;3;
I6;21,2;8,5;I6/155A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;34,1;38,09999999;42,20000001;677158,5;7184371,2;;2;2;;2;2;;3;3;;3;3;
G9;10,4;17,5;G9/75A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;;37,20000001;43,60000001;48,99999999;677067,5;7184510,4;;2;2;;3;3;;3;3;;3;3;
F9;21,1;12,5;F9/76A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;32,00000001;32,00000001;32,00000001;32,00000001;677012,5;7184521,1;2;2;2;2;2;1;3;3;3;2;2;2;
I7;38,5;16;I7/43A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;50,7;52,2;51,00000001;55,49999999;677166;7184438,5;43;43;2;2;2;1;1;5;2;2;2;1;
F8;15,8;22,8;F8/277A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;35,5;39,8;677022,8;7184465,8;;;2;;;2;;;3;;;3;
H7;1,5;10,5;H7/63A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;46,3;50,39999999;55;63;677110,5;7184401,5;2;2;2;3;3;2;3;3;3;3;3;3;
G7;30;0,5;G7/27A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;40,6;41,69999999;42,30000001;43,29999999;677050,5;7184430;43;43;42;3;3;2;2;2;15;2;1;3;
C7;28,2;46;C7/139A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;98,60000001;99,2;99,59999999;99,69999999;676896;7184428,2;2;2;;2;2;2;3;3;3;2;3;3;
C5;3,8;28;C5/70A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;39;40,99999999;41,69999999;42,8;676878;7184303,8;1;2;;2;2;1;3;3;3;2;3;3;
E5;17,2;26;E5/74A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;46,4;48,5;52,49999999;56,4;676976;7184317,2;2;42;;2;2;2;3;5;3;2;3;3;
D9;19,7;46;D9/148C;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;40,00000001;41,50000001;42,49999999;;676946;7184519,7;1;1;;3;2;;3;3;4;2;2;;
H5;39,6;48,5;H5/188A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;38,60000001;40,6;41,9;43,89999999;677148,5;7184339,6;2;2;2;1;1;1;3;5;3;2;2;3;
F5;26,3;2,5;F5/17A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;37,80000001;37,80000001;41,40000001;42,10000001;677002,5;7184326,3;43;43;4;2;3;2;3;35;35;3;2;3;
A4;5,5;0;A4/145A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;;;32,70000001;676750;7184255,5;;;;;;;;;;;;;
E5;33,8;26;E5/85A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;43,29999999;43,4;43,4;43,4;676976;7184333,8;1;41;;1;1;1;3;5;3;2;2;2;
F9;2,2;31,5;F9/148A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;38,60000001;39,40000001;39,9;39,9;677031,5;7184502,2;41;41;41;2;2;2;3;3;3;2;2;2;
D9;32,1;0,3;D9/189A;Caingá;Myrcia hatschbachii D.Legrand;Myrtaceae;Myrhat;C;102;102,5;107,4;108;676900,3;7184532,1;2;41;;2;2;2;1;1;1;3;;1;
H7;16,3;33;H7/121A;Cambará;Gochnatia polymorpha (Less.) Cabrera;Asteraceae;Gocpol;P;63,49999999;63,49999999;;;677133;7184416,3;1;;;2;;;2;4;4;3;;;
A5;13;38;A5/55A;Caroba;Jacaranda puberula Cham.;Bignoniaceae;Jacpub;Si;51,3;51,60000001;55,30000001;55,49999999;676788;7184313;1;2;;3;2;2;3;3;35;3;3;3;
E4;0,7;22,6;E4/200A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;;;32,90000001;32,90000001;676972,6;7184250,7;;;1;;;1;;;3;;;2;
H5;35,6;38;H5/225A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;35,99999999;37,99999998;677138;7184335,6;;;2;;;1;;;3;;;3;
H6;27;43,5;H6/189A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,29999999;32,5;32,99999999;34;677143,5;7184377;43;43;41;1;1;1;3;3;3;1;2;3;
D5;19,2;32,5;D5/128C;Canela-amarela;Nectandra lanceolata Nees;Lauraceae;Neclan;Si;69,60000001;71,7;77,00000001;81,40000001;676932,5;7184319,2;2;;;2;2;2;2;5;3;3;3;3;
I7;12;32,5;I7/104A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;;39,49999999;51,00000001;62,50000001;677182,5;7184412;;;2;;;1;;;3;;;2;
G4;25,8;39;G4/131A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;45,99999999;47;47,7;48,99999999;677089;7184275,8;2;2;2;3;3;2;3;35;35;3;2;2;
I4;31,1;17;I4/60A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,10000001;36,69999999;42;47,49999999;677167;7184281,1;2;2;2;2;2;2;3;3;3;3;3;3;
B7;2,5;17,5;B7/29A;Ingá;Inga virescens Benth;Fabaceae;Ingvir;Si;57,69999999;61,6;65,2;68,49999999;676817,5;7184402,5;3;3;;3;2;2;3;3;3;3;3;3;
B6;37,1;22,1;B6/191A;vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;;32,39999999;;;676822,1;7184387,1;;1;;;1;;;2;4;;1;;Morta
A5;23,3;19;A5/146A;Miguel pintado;Matayba elaeagnoides Radlk.;Sapindaceae;Matela;St;77,5;80,09999999;83,69999999;84,90000001;676769;7184323,3;2;2;;3;2;2;3;3;3;3;3;3;
E4;39;26;E4/95A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;42,49999999;42,49999999;42,49999999;42,6;676976;7184289;1;1;;1;2;2;1;5;2;1;1;2;
E7;42,5;19;E7/42A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;180;183,2;182,3;180;676969;7184442,5;2;1;;3;2;2;3;5;35;3;3;3;
D10;4,4;48;D10/54A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;69,80000001;84,80000001;94,1;103,5;676948;7184554,4;3;3;;3;2;3;3;3;25;3;3;3;
I6;5;30,5;I6/135A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;90,60000001;93,00000002;94;96,09999999;677180,5;7184355;3;3;2;2;2;2;3;5;3;3;3;3;
C7;38,8;39;C7/95A;Canela-guaicá;Ocotea puberula (Rich.) Nees;Lauraceae;Ocopub;Si;68,20000001;70,1;70,9;78,2;676889;7184438,8;1;41;;3;2;3;3;3;3;2;2;3;
D6;49,4;34,5;D6/105A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;32,99999999;35,29999999;36,2;37,20000001;676934,5;7184399,4;1;2;;1;2;1;3;3;3;2;3;3;
C4;2,1;49,4;C4/65A;Branquilho;Gymnanthes klotzschiana Müll.Arg.;Euphorbiaceae;Gymklo;Si;;39,9;46,3;51,4;676899,4;7184252,1;;3;;;2;2;;5;3;;2;2;
E7;17,5;40,5;E7/271A;Myrcia rostrata;Myrcia splendens (Sw.) DC.;Myrtaceae;Myrspl;Si;56,99999999;62,2;67,50000001;74,19999998;676990,5;7184417,5;2;41;;2;1;2;3;5;3;2;2;3;
H1;46,7;13;H1/14A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;61,19999999;66,00000001;81;85,70000001;677113;7184146,7;1;1;1;3;3;3;3;3;3;3;3;3;
G2;46,8;1,5;G2/26A;Eugenia multiovulata;Eugenia chlorophylla O.Berg;Myrtaceae;Eugchl;C;73,49999999;73,49999999;;;677051,5;7184196,8;2;2;;3;3;;1;4;4;2;2;;
D4;44;11,5;D4/53A;Canela de raposa;Styrax leprosus Hook. & Arn.;Styracaceae;Stylep;Si;36,9;41,3;46,50000001;51,5;676911,5;7184294;3;3;;2;2;2;3;3;3;3;3;3;
F4;2;46,5;F4/150A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;;;;32,00000001;677046,5;7184252;;;;;;;;;;;;;
C8;12,7;26,5;C8/23A;Farinha-seca;Machaerium stipitatum Vogel;Fabaceae;Macsti;Si;49,09999999;54,69999999;58,39999999;63,20000001;676876,5;7184462,7;1;1;;3;2;2;3;3;3;2;2;3;
J4;12,2;8;J4/9A;Citronela gangonha;Citronella gongonha (Mart.) R.A.Howard;Cardiopteridaceae;Citgon;Si;39,20000001;41,69999999;43,79999998;48,19999999;677208;7184262,2;2;2;1;3;3;1;4;4;3;3;3;2;
I7;40;15,5;I7/40A;Carne de vaca;Clethra scabra Pers.;Clethraceae;Clesca;P;36,1;36,50000001;37;37,6;677165,5;7184440;3;3;2;2;2;2;2;5;3;2;2;3;
H6;19,8;7;H6/20A;Coutarea hexandra;Coutarea hexandra (Jacq.) K.Schum.;Rubiaceae;Couhex;Si;42,20000001;45,29999999;52,2;56,19999999;677107;7184369,8;2;2;2;3;3;2;3;3;3;3;3;3;
E6;7,2;12,5;E6/71A;Vacum;Allophylus edulis (A. St.-Hil., Cambess. & A. Juss.) Radlk.;Sapindaceae;Alledu;St;45,10000001;45,10000001;46,19999999;48,5;676962,5;7184357,2;1;1;;2;2;2;2;2;3;1;2;3;
I8;2;6;I8/16A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;;;;32,99999999;677160;7184456;;;;;;;;;;;;;
E9;30,3;8;E9/19A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;48,19999999;50,80000001;53,5;55,1;676958;7184530,3;2;2;;2;2;2;3;3;3;3;3;3;
I3;18,4;11,4;I3/112A;Jacaranda;Dalbergia brasiliensis Vogel;Fabaceae;Dalbra;Si;;;33,69999999;38,50000001;677161,4;7184218,4;;;2;;;2;;;3;;;3;
F7;16,7;44,5;F7/282A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;;32,6;36,1;39,40000001;677044,5;7184416,7;;2;1;;2;2;;35;35;;2;3;
I4;43,3;6;I4/38A;Jacarandá cipó;Machaerium brasiliense Vogel;Fabaceae;Macbra;Si;44,2;47,30000001;52,59999999;53,80000001;677156;7184293,3;2;2;2;3;3;2;3;3;3;3;3;3;
I4;9,4;4;I4/8A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;60,30000001;61,80000001;62,2;;677154;7184259,4;2;2;2;3;3;3;3;3;35;3;3;2;
E4;34;11;E4/52A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;46,79999999;47,8;49,2;;676961;7184284;2;2;;2;2;2;3;3;35;3;3;2;
D9;49,7;12,5;D9/15A;Vacum 2;Allophylus semidentatus (Miq.) Radlk.;Sapindaceae;Allsem;St;37,49999999;37,49999999;;;676912,5;7184549,7;2;;;1;;;1;4;4;2;;;
G4;19,1;26,5;G4/68A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;52;57,69999999;64,60000001;70,3;677076,5;7184269,1;3;3;2;3;3;3;3;3;3;3;3;3;
E9;9,2;18,5;E9/40B;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;34,49999999;35,99999999;35,60000001;37,80000001;676968,5;7184509,2;1;1;;3;2;2;3;3;3;2;3;3;
F5;18,4;28,5;F5/72A;Mamica-de-cadela;Zanthoxylum petiolare  A.St.-Hil. & Tul.;Rutaceae;Zanpet;Si;32,5;35,00000001;37,20000001;37,39999999;677028,5;7184318,4;3;3;3;3;2;2;3;35;35;3;3;3;
G9;16,5;19;G9/74A;Canela;Ocotea nutans (Nees) Mez;Lauraceae;Oconut;St;;33,69999999;37,99999998;43,00000001;677069;7184516,5;;2;2;;2;2;;3;3;;3;3;
